nit_entidad,entidad,departamento,ciudad,orden,periodo_gobierno,n_contratos,n_atipicos,valor_total,valor_atipico,score_medio,tasa_cruda,tasa_ajustada,share_valor_atipico
800103913,E.S.E. HOSPITAL SAN RAFAEL,ANTIOQUIA,EL BAGRE,TERRITORIAL,2024-2027,43,9,289617538469,154822579084,0.164,0.2093,0.2278,0.5346
899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,BOGOTA D.C.,BOGOTA D.C.,NACIONAL,2024-2027,21,10,245250017859,174946038653,0.105,0.4762,0.4306,0.7133
899999061,INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,CHOCO,NO DEFINIDO,DEPARTAMENTAL,2024-2027,24,9,35791530933,14955591327,0.089,0.375,0.3604,0.4179
899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,NARINO,PUERRES,NACIONAL,2020-2023,30,18,1069841422747,247109939183,0.126,0.6,0.5373,0.231
800103913,E.S.E. HOSPITAL SAN RAFAEL,TOLIMA,IBAGUE,TERRITORIAL,2020-2023,16,11,287741493583,221754679200,0.077,0.6875,0.5585,0.7707
899999061,INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,HUILA,NEIVA,DEPARTAMENTAL,2020-2023,21,13,677728453460,240437867172,0.09,0.619,0.5318,0.3548
891680011,GOBERNACION DEL CHOCO,CAUCA,POPAYAN,DEPARTAMENTAL,2016-2019,34,5,283754677302,186404276542,0.14,0.1471,0.1821,0.6569
892000501,ALCALDIA MUNICIPAL DE PUERTO GAITAN,RISARALDA,PEREIRA,TERRITORIAL,2020-2023,16,9,1187404232714,353427465236,0.103,0.5625,0.4774,0.2976
891680011,GOBERNACION DEL CHOCO,QUINDIO,ARMENIA,DEPARTAMENTAL,2020-2023,19,9,998478829404,211613387589,0.108,0.4737,0.4256,0.2119
899999063,SERVICIO NACIONAL DE APRENDIZAJE - SENA,CESAR,VALLEDUPAR,NACIONAL,2020-2023,26,13,885267646839,342509601958,0.133,0.5,0.4551,0.3869
890905211,MUNICIPIO DE EL BAGRE,META,PUERTO GAITAN,TERRITORIAL,2016-2019,21,6,541556666580,239767971359,0.112,0.2857,0.2957,0.4427
899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,CORDOBA,MONTERIA,NACIONAL,2016-2019,21,11,803263540515,165283431494,0.105,0.5238,0.4643,0.2058
890801150,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO E.S.P.,CUNDINAMARCA,SOACHA,TERRITORIAL,2020-2023,36,13,130237240798,53462091528,0.156,0.3611,0.3531,0.4105
892000501,ALCALDIA MUNICIPAL DE PUERTO GAITAN,CUNDINAMARCA,SOACHA,TERRITORIAL,2024-2027,14,6,200348071891,60130137246,0.108,0.4286,0.3871,0.3001
899999063,SERVICIO NACIONAL DE APRENDIZAJE - SENA,CUNDINAMARCA,SOACHA,NACIONAL,2024-2027,6,3,246480656921,55664631614,0.108,0.5,0.3937,0.2258
890905211,MUNICIPIO DE EL BAGRE,CUNDINAMARCA,SOACHA,TERRITORIAL,2020-2023,31,8,129826360186,100250227631,0.159,0.2581,0.2716,0.7722
890801150,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO E.S.P.,CUNDINAMARCA,SOACHA,TERRITORIAL,2016-2019,28,7,54120121372,13879788535,0.132,0.25,0.2665,0.2565
890905211,MUNICIPIO DE EL BAGRE,CUNDINAMARCA,SOACHA,TERRITORIAL,2024-2027,9,4,26237594854,22845116465,0.081,0.4444,0.3834,0.8707
891680011,GOBERNACION DEL CHOCO,CUNDINAMARCA,SOACHA,DEPARTAMENTAL,2024-2027,13,6,119120600569,78621967305,0.108,0.4615,0.405,0.66
890801150,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO E.S.P.,CUNDINAMARCA,SOACHA,TERRITORIAL,2024-2027,9,4,90320930947,67661495425,0.144,0.4444,0.3834,0.7491
899999061,INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,CUNDINAMARCA,SOACHA,DEPARTAMENTAL,2016-2019,12,9,345951432541,172384088971,0.103,0.75,0.5699,0.4983
899999063,SERVICIO NACIONAL DE APRENDIZAJE - SENA,CUNDINAMARCA,SOACHA,NACIONAL,2016-2019,29,8,410400871026,267425259184,0.106,0.2759,0.286,0.6516
892000501,ALCALDIA MUNICIPAL DE PUERTO GAITAN,CUNDINAMARCA,SOACHA,TERRITORIAL,2016-2019,22,4,135701999898,107751292838,0.156,0.1818,0.2208,0.794
800103913,E.S.E. HOSPITAL SAN RAFAEL,CUNDINAMARCA,SOACHA,TERRITORIAL,2016-2019,14,9,507372851568,235144236007,0.083,0.6429,0.5195,0.4635
