departamento,n_contratos,n_atipicos,valor_total,valor_atipico,tasa_cruda,tasa_ajustada,share_valor_atipico
ANTIOQUIA,256,202,19341389980672,15261565531624,0.7891,0.7737,0.7891
CUNDINAMARCA,2229,1676,39847195599323,29961372734170,0.7519,0.7502,0.7519
BOGOTA D.C.,340,61,5719929270628,1026222604436,0.1794,0.1829,0.1794
CHOCO,222,80,4162893979260,1412021423685,0.3604,0.3588,0.3392
LA GUAJIRA,97,44,54034775186,24510619672,0.4536,0.4427,0.4536
BOYACA,343,51,9709150513016,1532834012460,0.1487,0.1529,0.1579
NARINO,149,46,11986657458718,3636636057457,0.3087,0.3093,0.3034
VALLE DEL CAUCA,174,79,4213701245898,1913117232333,0.454,0.4477,0.454
ATLANTICO,122,40,385509997830,126396720600,0.3279,0.3273,0.3279
SUCRE,90,25,74290800360,20636333433,0.2778,0.2815,0.2778
CORDOBA,105,22,2567735646770,538001754561,0.2095,0.2179,0.2095
MAGDALENA,118,37,176542672631,55356600740,0.3136,0.314,0.3136
SANTANDER,140,33,554084948060,130605737757,0.2357,0.2406,0.2357
CESAR,99,18,2890999318135,525636239661,0.1818,0.1929,0.1818
META,76,34,2385582898489,1067234454587,0.4474,0.4344,0.4474
CASANARE,82,20,5488717478,1338711580,0.2439,0.2512,0.2439
ARAUCA,55,21,2578410469717,984483997528,0.3818,0.3734,0.3818
PUTUMAYO,47,12,2025997275,517275900,0.2553,0.2654,0.2553
VICHADA,4,2,312374113128,156187056564,0.5,0.3769,0.5
AMAZONAS,6,3,398687922,199343961,0.5,0.3937,0.5
GUAINIA,12,4,1182628508052,394209502684,0.3333,0.3277,0.3333
TOLIMA,130,26,94871385180,18974277036,0.2,0.2075,0.2
HUILA,111,24,3112318633525,672933758600,0.2162,0.2237,0.2162
CAUCA,108,31,787895702568,226155247959,0.287,0.2895,0.287
CALDAS,95,15,8122992622,1282577782,0.1579,0.1714,0.1579
RISARALDA,101,17,11001949594,1851813298,0.1683,0.1803,0.1683
QUINDIO,70,11,409911977335,64414739295,0.1571,0.1751,0.1571
NORTE DE SANTANDER,126,35,71195651436,19776569843,0.2778,0.2805,0.2778
BOLIVAR,160,52,415385906480,135000419606,0.325,0.3247,0.325
CAQUETA,58,14,634631854856,153186999448,0.2414,0.2516,0.2414
GUAVIARE,31,9,3094385047841,898369852599,0.2903,0.2968,0.2903
VAUPES,18,5,5266012428,1462781230,0.2778,0.2915,0.2778
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,24,8,8662065648,2887355216,0.3333,0.3298,0.3333
