departamento,ciudad,n_contratos,n_atipicos,valor_total,valor_atipico,regalias_atipicas,score_medio,tasa_cruda,tasa_ajustada,share_valor_atipico,alpha,beta,n_proponente_unico,n_obra_directa,n_cuenta_compartida,n_fraccionamiento,n_anticipo_no_declarado,n_sobrepago
ANTIOQUIA,EL BAGRE,256,202,19341389980672,15261565531624,15261565531624,0.325,0.7891,0.7737,0.7891,2.7677,5.8822,202,202,202,202,0,0
CUNDINAMARCA,SOACHA,2229,1676,39847195599323,29961372734170,10620380747041,0.123,0.7519,0.7502,0.7519,2.7677,5.8822,138,290,221,249,332,207
BOGOTA D.C.,BOGOTA D.C.,340,61,5719929270628,1026222604436,239804498311,0.085,0.1794,0.1829,0.1794,2.7677,5.8822,0,12,0,12,0,12
CHOCO,QUIBDO,180,61,4151766254085,1406987452773,0,0.138,0.3389,0.338,0.3389,2.7677,5.8822,0,15,15,0,0,15
CHOCO,NO DEFINIDO,42,19,11127725175,5033970912,1047391501,0.087,0.4524,0.4298,0.4524,2.7677,5.8822,0,0,0,0,0,0
LA GUAJIRA,URIBIA,97,44,54034775186,24510619672,22186540288,0.133,0.4536,0.4427,0.4536,2.7677,5.8822,0,14,0,0,29,0
BOYACA,SOGAMOSO,133,21,9696531954966,1531031361310,1531031361310,0.163,0.1579,0.1678,0.1579,2.7677,5.8822,10,10,0,0,0,0
BOYACA,TUNJA,210,30,12618558050,1802651150,0,0.125,0.1429,0.1499,0.1429,2.7677,5.8822,0,10,0,0,0,0
NARINO,PUERRES,61,27,4625247626766,2047240752831,516727178334,0.1,0.4426,0.4274,0.4426,2.7677,5.8822,0,0,9,0,18,0
NARINO,IPIALES,88,19,7361409831952,1589395304626,0,0.025,0.2159,0.2252,0.2159,2.7677,5.8822,0,0,0,0,0,0
VALLE DEL CAUCA,BUENAVENTURA,174,79,4213701245898,1913117232333,19664670599,0.108,0.454,0.4477,0.454,2.7677,5.8822,13,13,13,13,13,0
ATLANTICO,SOLEDAD,122,40,385509997830,126396720600,0,0.1,0.3279,0.3273,0.3279,2.7677,5.8822,0,0,13,0,0,0
SUCRE,SINCELEJO,90,25,74290800360,20636333433,287125800,0.083,0.2778,0.2815,0.2778,2.7677,5.8822,0,0,8,8,0,0
CORDOBA,MONTERIA,105,22,2567735646770,538001754561,0,0.075,0.2095,0.2179,0.2095,2.7677,5.8822,0,7,7,0,0,0
MAGDALENA,SANTA MARTA,118,37,176542672631,55356600740,577047054,0.1,0.3136,0.314,0.3136,2.7677,5.8822,0,12,12,0,0,0
SANTANDER,BARRANCABERMEJA,140,33,554084948060,130605737757,109286649912,0.15,0.2357,0.2406,0.2357,2.7677,5.8822,11,0,11,11,0,11
CESAR,VALLEDUPAR,99,18,2890999318135,525636239661,525636239661,0.062,0.1818,0.1929,0.1818,2.7677,5.8822,0,0,9,0,0,0
META,PUERTO GAITAN,76,34,2385582898489,1067234454587,1063275642215,0.125,0.4474,0.4344,0.4474,2.7677,5.8822,11,0,0,0,22,0
CASANARE,YOPAL,82,20,5488717478,1338711580,0,0.075,0.2439,0.2512,0.2439,2.7677,5.8822,0,0,0,0,0,20
ARAUCA,SARAVENA,55,21,2578410469717,984483997528,984483997528,0.05,0.3818,0.3734,0.3818,2.7677,5.8822,0,0,0,0,0,10
PUTUMAYO,MOCOA,47,12,2025997275,517275900,0,0.1,0.2553,0.2654,0.2553,2.7677,5.8822,0,0,0,12,0,0
VICHADA,CUMARIBO,4,2,312374113128,156187056564,0,0.1,0.5,0.3769,0.5,2.7677,5.8822,0,0,0,2,0,0
AMAZONAS,LETICIA,6,3,398687922,199343961,199343961,0.2,0.5,0.3937,0.5,2.7677,5.8822,0,3,0,0,0,3
GUAINIA,INIRIDA,12,4,1182628508052,394209502684,0,0.15,0.3333,0.3277,0.3333,2.7677,5.8822,0,0,0,0,0,0
TOLIMA,IBAGUE,130,26,94871385180,18974277036,2574476692,0.075,0.2,0.2075,0.2,2.7677,5.8822,0,0,0,0,0,0
HUILA,NEIVA,111,24,3112318633525,672933758600,11376483352,0.05,0.2162,0.2237,0.2162,2.7677,5.8822,0,0,0,0,8,0
CAUCA,POPAYAN,108,31,787895702568,226155247959,145325604919,0.092,0.287,0.2895,0.287,2.7677,5.8822,0,0,0,0,0,0
CALDAS,MANIZALES,95,15,8122992622,1282577782,465387525,0.05,0.1579,0.1714,0.1579,2.7677,5.8822,0,0,0,0,0,0
RISARALDA,PEREIRA,101,17,11001949594,1851813298,0,0.062,0.1683,0.1803,0.1683,2.7677,5.8822,0,0,0,0,0,0
QUINDIO,ARMENIA,70,11,409911977335,64414739295,53284035018,0.1,0.1571,0.1751,0.1571,2.7677,5.8822,0,0,0,0,0,0
NORTE DE SANTANDER,CUCUTA,126,35,71195651436,19776569843,17996985486,0.125,0.2778,0.2805,0.2778,2.7677,5.8822,11,0,0,0,0,0
BOLIVAR,CARTAGENA,160,52,415385906480,135000419606,19634809168,0.169,0.325,0.3247,0.325,2.7677,5.8822,0,13,13,13,0,13
CAQUETA,FLORENCIA,58,14,634631854856,153186999448,0,0.15,0.2414,0.2516,0.2414,2.7677,5.8822,0,0,0,0,14,0
GUAVIARE,SAN JOSE DEL GUAVIARE,31,9,3094385047841,898369852599,0,0.2,0.2903,0.2968,0.2903,2.7677,5.8822,9,0,0,9,0,9
VAUPES,MITU,18,5,5266012428,1462781230,0,0.025,0.2778,0.2915,0.2778,2.7677,5.8822,0,0,0,0,0,0
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,SAN ANDRES,24,8,8662065648,2887355216,0,0.025,0.3333,0.3298,0.3333,2.7677,5.8822,0,0,0,0,0,0
